,Unnamed: 0,Unnamed: 0.1,urban_center_id,osm_completeness,gini,moran,spatial_proximity
0,0,0,6114,0.062,0.829,0.591,1.001
1,1,1,11233,0.001,0.966,-0.041,1.0
2,2,2,273,0.553,0.867,0.602,1.004
3,3,3,3936,0.001,0.82,0.04,1.0
4,4,4,12502,0.009,0.934,-0.055,1.0
5,5,5,13093,0.301,0.817,0.444,1.001
6,6,6,4326,0.617,0.316,0.204,1.0
7,7,7,11092,0.03,0.903,0.058,1.0
8,8,8,176,0.086,0.775,0.016,1.0
9,9,9,576,0.905,0.497,0.061,1.0
10,10,10,9719,0.001,0.924,0.112,1.0
11,11,11,1003,0.085,0.769,0.382,1.001
12,12,12,2784,0.953,0.704,0.238,1.0
13,13,13,10671,0.003,0.971,-0.001,1.0
14,14,14,10792,0.002,0.964,-0.006,1.0
15,15,15,1811,0.642,0.543,0.155,1.0
16,16,16,2204,0.929,0.637,-0.002,1.0
17,17,17,11797,0.001,0.942,0.112,1.0
18,18,18,10364,0.004,0.842,-0.079,1.0
19,19,19,10073,0.0,,,
20,20,20,161,0.72,0.827,0.38,1.001
21,21,21,10454,0.0,,,
22,22,22,10430,0.091,0.86,0.217,1.0
23,23,23,4519,0.973,0.993,0.564,1.001
24,24,24,2990,0.716,0.826,0.633,1.007
25,25,25,11158,0.107,0.885,0.251,1.003
26,26,26,2054,0.951,0.678,0.179,1.0
27,27,27,12629,0.009,0.917,-0.042,1.0
28,28,28,3071,0.047,0.628,0.162,1.0
29,29,29,8457,0.007,0.802,0.109,1.0
30,30,30,13035,0.993,0.987,0.281,1.0
31,31,31,824,0.793,0.792,0.54,1.003
32,32,32,3834,0.836,0.581,0.139,1.0
33,33,33,769,0.679,0.722,0.427,1.001
34,34,34,266,0.652,0.807,0.549,1.001
35,35,35,2543,0.891,0.856,0.136,1.0
36,36,36,1550,0.42,0.747,0.371,1.003
37,37,37,1287,0.041,0.757,0.01,1.0
38,38,38,6258,0.019,0.858,0.261,1.0
39,39,39,366,0.887,0.855,0.241,1.002
40,40,40,6445,0.018,0.903,0.11,1.0
41,41,41,8630,0.002,0.928,0.107,1.0
42,42,42,12513,0.002,0.965,-0.026,1.0
43,43,43,9491,0.0,0.898,-0.038,1.0
44,44,44,10,0.878,0.957,0.624,1.004
45,45,45,9313,0.109,0.793,0.19,1.001
46,46,46,12622,0.73,0.827,0.645,1.004
47,47,47,3068,0.04,0.649,-0.025,1.0
48,48,48,2773,0.034,0.928,0.187,1.0
49,49,49,2544,0.884,0.587,0.073,1.0
50,50,50,4356,0.147,0.952,0.723,1.006
51,51,51,12525,0.671,0.474,0.38,1.001
52,52,52,6219,0.027,0.892,0.187,1.0
53,53,53,13,0.984,0.835,-0.014,1.0
54,54,54,1319,0.044,0.601,0.071,1.0
55,55,55,12744,0.176,0.829,0.424,1.002
56,56,56,1603,0.885,0.89,0.357,1.003
57,57,57,11194,0.085,0.779,0.406,1.001
58,58,58,1942,0.166,0.681,0.368,1.0
59,59,59,13128,0.073,0.888,0.153,1.001
60,60,60,12465,0.0,,,
61,61,61,6095,0.0,,,
62,62,62,3755,0.57,0.614,0.441,1.001
63,63,63,13184,0.964,0.781,0.093,1.0
64,64,64,10214,0.391,0.818,0.564,1.002
65,65,65,3046,0.904,0.49,0.197,1.0
66,66,66,5616,0.843,0.986,0.601,1.004
67,67,67,453,0.079,0.673,0.08,1.0
68,68,68,9079,0.043,0.73,0.269,1.0
69,69,69,5581,0.135,0.615,0.098,1.0
70,70,70,4351,0.827,0.41,0.049,1.0
71,71,71,12114,0.055,0.851,0.157,1.0
72,72,72,7154,0.011,0.805,0.023,1.0
73,73,73,12464,0.028,0.849,0.461,1.001
74,74,74,3463,0.44,0.63,0.129,1.0
75,75,75,667,0.343,0.639,0.397,1.001
76,76,76,9771,0.004,0.785,0.23,1.0
77,77,77,4645,0.037,0.845,-0.032,1.0
78,78,78,13030,0.415,0.852,0.684,1.004
79,79,79,11026,0.084,0.756,0.143,1.0
80,80,80,4199,0.088,0.748,0.253,1.0
81,81,81,10749,0.005,0.907,0.227,1.0
82,82,82,6786,0.007,0.815,0.032,1.0
83,83,83,11570,0.04,0.76,0.321,1.0
84,84,84,6581,0.009,0.608,-0.171,1.0
85,85,85,3378,0.916,0.567,0.041,1.0
86,86,86,12686,0.048,0.841,0.212,1.0
87,87,87,1044,0.999,0.947,-0.067,1.0
88,88,88,589,0.304,0.766,0.392,1.001
89,89,89,329,0.127,0.802,0.422,1.002
90,90,90,682,0.125,0.876,0.166,1.0
91,91,91,44,0.05,0.781,0.043,1.0
92,92,92,1144,0.03,0.809,0.115,1.0
93,93,93,11964,0.006,0.861,0.064,1.0
94,94,94,11562,0.181,0.66,0.046,1.0
95,95,95,1987,0.415,0.676,0.307,1.0
96,96,96,9661,0.796,0.337,0.165,1.0
97,97,97,11483,0.011,0.957,0.022,1.0
98,98,98,4921,0.243,0.752,0.62,1.001
99,99,99,2540,0.816,0.767,0.566,1.002
100,100,100,7292,0.012,0.691,0.178,1.0
101,101,101,7184,0.018,0.727,0.048,1.0
102,102,102,11317,0.0,,,
103,103,103,981,0.088,0.67,0.389,1.001
104,104,104,6091,0.046,0.716,0.087,1.0
105,105,105,12145,0.042,0.947,0.363,1.001
106,106,106,12475,0.046,0.91,0.268,1.001
107,107,107,2538,0.94,0.77,0.115,1.0
108,108,108,10042,0.005,0.889,0.012,1.0
109,109,109,972,0.099,0.561,0.021,1.0
110,110,110,3890,0.0,,,
111,111,111,3374,0.717,0.533,0.329,1.001
112,112,112,12486,0.021,0.983,0.572,1.003
113,113,113,5352,0.307,0.846,0.465,1.005
114,114,114,10574,0.094,0.778,0.153,1.0
115,115,115,10453,0.005,0.972,-0.033,1.0
116,116,116,3311,0.396,0.711,0.268,1.001
117,117,117,312,0.097,0.571,0.264,1.0
118,118,118,862,0.198,0.65,0.33,1.001
119,119,119,6723,0.005,0.606,0.131,1.0
120,120,120,9282,0.227,0.892,0.57,1.006
121,121,121,488,0.282,0.797,0.526,1.002
122,122,122,2255,0.973,0.732,0.066,1.0
123,123,123,12019,0.0,,,
124,124,124,1770,0.552,0.779,0.442,1.005
125,125,125,9924,0.803,0.738,0.674,1.002
126,126,126,3688,0.021,0.799,-0.05,1.0
127,127,127,9626,0.0,0.897,-0.07,1.0
128,128,128,2254,0.993,0.936,-0.03,1.0
129,129,129,12,0.336,0.866,0.635,1.008
130,130,130,8453,0.001,0.951,-0.045,1.0
131,131,131,11761,0.002,0.966,0.001,1.0
132,132,132,11474,0.005,0.949,0.262,1.0
133,133,133,9673,0.045,0.924,0.447,1.002
134,134,134,8854,0.004,0.852,-0.019,1.0
135,135,135,2477,0.92,0.758,0.179,1.0
136,136,136,5961,0.841,0.581,0.062,1.0
137,137,137,10795,0.058,0.824,0.106,1.001
138,138,138,384,0.213,0.732,0.613,1.001
139,139,139,7453,0.002,0.932,-0.053,1.0
140,140,140,12878,0.136,0.699,0.303,1.001
141,141,141,12290,0.183,0.771,0.253,1.001
142,142,142,826,0.099,0.833,0.409,1.001
143,143,143,4897,0.726,0.805,0.045,1.0
144,144,144,4574,0.897,0.728,0.421,1.0
145,145,145,12239,0.269,0.663,0.207,1.001
146,146,146,8172,0.179,0.841,0.74,1.003
147,147,147,10962,0.309,0.495,0.094,1.0
148,148,148,1564,0.098,0.832,0.266,1.001
149,149,149,2126,0.032,0.96,0.188,1.001
150,150,150,11178,0.024,0.836,0.183,1.0
151,151,151,3987,0.005,0.678,-0.074,1.0
152,152,152,1579,0.584,0.495,0.549,1.001
153,153,153,768,0.885,0.799,0.321,1.001
154,154,154,13175,0.995,0.875,-0.02,1.0
155,155,155,838,0.04,0.839,0.189,1.001
156,156,156,9844,0.062,0.91,0.097,1.001
157,157,157,8213,0.01,0.751,0.253,1.0
158,158,158,10784,0.007,0.991,0.014,1.001
159,159,159,3686,0.934,0.769,0.248,1.0
160,160,160,88,0.07,0.775,0.228,1.0
161,161,161,10116,0.002,0.936,0.011,1.0
162,162,162,188,0.041,0.872,0.096,1.0
163,163,163,4232,0.116,0.511,-0.098,1.0
164,164,164,2792,0.936,0.809,0.128,1.0
165,165,165,11259,0.068,0.921,0.211,1.001
166,166,166,2428,0.929,0.601,0.157,1.0
167,167,167,13088,0.884,0.551,0.066,1.0
168,168,168,5994,0.617,0.593,0.292,1.001
169,169,169,11438,0.036,0.896,0.053,1.0
170,170,170,7898,0.298,0.67,0.409,1.001
171,171,171,2455,0.906,0.667,0.151,1.0
172,172,172,2153,0.988,0.886,-0.017,1.0
173,173,173,5,0.989,0.867,0.185,1.0
174,174,174,12424,0.053,0.876,0.251,1.001
175,175,175,1165,0.023,0.636,-0.225,1.0
176,176,176,3406,0.089,0.721,0.05,1.0
177,177,177,807,0.238,0.699,0.036,1.0
178,178,178,6208,0.626,0.56,0.527,1.001
179,179,179,12057,0.044,0.877,0.217,1.0
180,180,180,12469,0.018,0.922,-0.029,1.0
181,181,181,12393,0.608,0.43,0.096,1.0
182,182,182,10326,0.193,0.648,0.275,1.001
183,183,183,5991,0.868,0.81,0.781,1.001
184,184,184,2971,0.8,0.884,0.831,1.004
185,185,185,11657,0.09,0.832,0.454,1.001
186,186,186,12824,0.128,0.604,0.248,1.001
187,187,187,444,0.859,0.935,0.714,1.007
188,188,188,537,0.422,0.861,0.421,1.001
189,189,189,11200,0.003,0.935,0.051,1.0
190,190,190,2534,0.976,0.786,0.084,1.0
191,191,191,12221,0.007,0.908,0.01,1.0
192,192,192,10763,0.082,0.676,0.396,1.0
193,193,193,369,0.153,0.616,0.343,1.0
194,194,194,3632,0.207,0.781,0.389,1.001
195,195,195,8568,0.0,0.955,-0.021,1.0
196,196,196,2986,0.694,0.538,0.358,1.0
197,197,197,7023,0.012,0.855,0.036,1.0
198,198,198,10504,0.003,0.954,-0.048,1.0
199,199,199,9808,0.004,0.867,-0.066,1.0
200,200,200,7399,0.011,0.858,0.241,1.0
201,201,201,8663,0.057,0.84,0.459,1.002
202,202,202,8819,0.69,0.507,0.525,1.001
203,203,203,78,0.298,0.861,0.244,1.001
204,204,204,1663,0.865,0.624,0.368,1.0
205,205,205,573,0.048,0.689,0.117,1.0
206,206,206,10133,0.12,0.711,0.369,1.001
207,207,207,852,0.967,0.897,0.314,1.001
208,208,208,5903,0.013,0.819,0.137,1.0
209,209,209,2175,0.979,0.736,0.002,1.0
210,210,210,12642,0.034,0.891,0.02,1.0
211,211,211,11213,0.011,0.906,0.062,1.0
212,212,212,12963,0.074,0.675,0.041,1.0
213,213,213,6601,0.048,0.826,0.274,1.0
214,214,214,448,0.108,0.633,0.159,1.0
215,215,215,9715,0.007,0.84,0.132,1.0
216,216,216,12567,0.009,0.967,0.045,1.0
217,217,217,7613,0.031,0.946,0.08,1.0
218,218,218,4231,0.622,0.447,0.213,1.0
219,219,219,701,0.402,0.812,0.369,1.001
220,220,220,11311,0.0,,,
221,221,221,9592,0.004,0.76,0.059,1.0
222,222,222,6652,0.01,0.811,-0.054,1.0
223,223,223,11216,0.012,0.964,-0.017,1.0
224,224,224,12673,0.007,0.969,0.021,1.0
225,225,225,9984,0.1,0.878,0.262,1.002
226,226,226,10048,0.023,0.871,0.396,1.0
227,227,227,3654,0.179,0.684,0.306,1.001
228,228,228,1886,0.081,0.711,0.118,1.0
229,229,229,289,0.153,0.696,0.452,1.001
230,230,230,13057,0.771,0.468,0.23,1.0
231,231,231,12205,0.019,0.96,0.212,1.001
232,232,232,8238,0.015,0.839,0.285,1.0
233,233,233,12667,0.032,0.877,0.427,1.001
234,234,234,3543,0.759,0.654,0.282,1.001
235,235,235,11805,0.013,0.774,-0.043,1.0
236,236,236,7316,0.012,0.729,0.258,1.0
237,237,237,2278,0.988,0.867,0.058,1.0
238,238,238,11724,0.454,0.637,0.362,1.001
239,239,239,3672,0.293,0.79,0.605,1.005
240,240,240,12554,0.236,0.97,0.563,1.004
241,241,241,4107,0.04,0.957,0.092,1.001
242,242,242,10871,0.118,0.717,0.315,1.0
243,243,243,3751,0.831,0.684,0.24,1.001
244,244,244,9631,0.001,0.902,-0.04,1.0
245,245,245,4350,0.024,0.899,0.136,1.0
246,246,246,11273,0.061,0.783,0.257,1.0
247,247,247,2242,0.98,0.766,0.019,1.0
248,248,248,4636,0.645,0.286,0.128,1.0
249,249,249,3441,0.825,0.558,0.117,1.0
250,250,250,11048,0.033,0.824,0.027,1.0
251,251,251,8976,0.267,0.659,0.138,1.0
252,252,252,7122,0.007,0.61,-0.003,1.0
253,253,253,7235,0.791,0.775,0.755,1.007
254,254,254,7852,0.106,0.592,0.123,1.0
255,255,255,1293,0.021,0.675,-0.025,1.0
256,256,256,11130,0.017,0.9,0.23,1.0
257,257,257,3766,0.755,0.638,0.478,1.0
258,258,258,2133,0.139,0.874,0.665,1.009
259,259,259,10980,0.0,0.967,-0.051,1.0
260,260,260,3079,0.884,0.621,0.365,1.001
261,261,261,3269,0.906,0.487,0.272,1.0
262,262,262,12748,0.361,0.656,0.441,1.004
263,263,263,11383,0.016,0.909,0.182,1.0
264,264,264,5213,0.008,0.969,0.074,1.0
265,265,265,12626,0.009,0.976,-0.028,1.0
